,label,tid,time,day,poi,price,rating,weather
2946,70,1867,417,Sunday,MTA Subway - Manhattan Bridge (B/D/N/Q),-1,-1.0,Clouds
596,12,294,971,Saturday,Great Wall Chinese Restaurant,1,-1.0,Clouds
27254,396,11206,694,Saturday,Tribeca Park,-1,7.9,Clouds
28842,438,12419,801,Wednesday,Allen Edmonds,-1,7.4,Clouds
2014,56,1516,1041,Saturday,169 Bar,1,8.8,Clear
13133,188,5298,1148,Wednesday,French Nails,-1,-1.0,Clouds
4359,84,2279,1232,Wednesday,Ditmas Grocery Store Inc,-1,-1.0,Clouds
41478,635,17656,986,Sunday,White Castle,1,-1.0,Clouds
48651,734,20497,967,Tuesday,Best Buy,-1,6.1,Clear
56275,872,24248,1228,Saturday,Fresh Cut Christmas Trees,-1,-1.0,Clear
11945,185,5200,459,Saturday,a womans place: the kitchen,2,-1.0,Clouds
41271,628,17501,1218,Friday,Magic Fountain,2,8.0,Clear
12659,185,5220,1198,Friday,Paramus Recycling Center,-1,-1.0,Rain
34146,484,13645,721,Thursday,Café Duke,2,7.4,Clear
11219,185,5187,69,Tuesday,nanas :),2,-1.0,Clouds
51732,766,21317,869,Saturday,Dunkin' Donuts,1,7.6,Clear
58514,891,24731,415,Monday,Liberty Place Apartments,-1,-1.0,Clouds
5179,84,2294,1045,Tuesday,Caverna Do Rodrigo,-1,-1.0,Clear
50886,753,21006,621,Saturday,Jersey City Medical Center,-1,-1.0,Clouds
33806,484,13630,1231,Saturday,Hooters,2,-1.0,Clear
42846,646,18018,966,Sunday,Bank of America,-1,5.8,Clouds
28222,425,12028,850,Friday,Dunkin Donuts,1,7.5,Fog
37195,529,14831,133,Sunday,"Winterfell ""Winter is Coming""",-1,-1.0,Clear
20052,344,9747,614,Monday,Queens Hall,-1,-1.0,Fog
43765,660,18403,781,Wednesday,New York Wine Exchange,-1,5.9,Clear
66269,1047,28915,577,Friday,LOFT,-1,7.1,Clouds
57233,882,24466,471,Tuesday,rough trade records,-1,-1.0,Clouds
36056,521,14657,413,Friday,TD Bank,-1,6.0,Clouds
35560,519,14574,516,Sunday,Whole Foods Market,-1,8.6,Clouds
39530,593,16525,1254,Tuesday,Port Authority Bus Terminal,-1,5.5,Rain
11233,185,5187,397,Wednesday,The Bush Hideout,3,-1.0,Clear
20090,344,9749,822,Friday,Benjamin S. Rosenthal Library,-1,-1.0,Clouds
10735,184,5173,1272,Monday,Calista Superfoods,1,-1.0,Clear
50802,752,20997,1227,Monday,Villa,-1,-1.0,Clouds
57003,881,24452,240,Wednesday,Sammy Deli Grocery,1,-1.0,Clouds
10616,182,5104,995,Friday,Grand Street Park,-1,6.7,Clear
46975,706,19724,622,Tuesday,One Stroke Tattoos,-1,-1.0,Clouds
7445,120,3289,155,Saturday,Newkirk Plaza,-1,6.4,Clear
50510,750,20936,1164,Friday,Times Square,-1,9.0,Clear
57354,885,24523,487,Thursday,Mi Casa,-1,-1.0,Clear
60579,928,25698,1385,Sunday,Mi Casa :-D,-1,-1.0,Rain
50988,753,21018,1088,Wednesday,2 Journal Square Plaza,-1,-1.0,Clear
40797,621,17277,1116,Saturday,Mr. O's ❤,-1,-1.0,Clouds
33442,475,13411,1236,Sunday,Earthdaypocalypse NYC,-1,-1.0,Rain
17244,293,8247,764,Sunday,San Marco Pizzeria,1,7.2,Clouds
23564,355,10064,361,Monday,Dunkin Donuts,1,6.0,Clouds
44100,673,18724,601,Friday,Minkatch,-1,-1.0,Clear
35659,519,14579,899,Sunday,Argo Tea,1,8.3,Clouds
40592,617,17193,179,Saturday,Veranda,3,-1.0,Clear
16562,293,8236,756,Wednesday,Xiang Xin,1,-1.0,Clouds
17285,293,8248,869,Friday,Lorimer street,-1,-1.0,Clear
56771,881,24435,294,Friday,Twin Donut,1,-1.0,Clear
27276,396,11207,389,Friday,J. Hood Wright Dog Park,-1,7.0,Clear
58023,889,24661,582,Friday,Pitkin Education Center,-1,-1.0,Clear
52113,767,21343,1105,Saturday,Super Womans Grand Central Party Station,-1,-1.0,Clear
63899,990,27441,562,Wednesday,InterContinental New York Times Square,-1,8.5,Clear
5389,84,2300,697,Thursday,Favela Grill,2,8.8,Clouds
27174,396,11204,397,Tuesday,J. Hood Wright Dog Park,-1,7.0,Clear
40073,596,16601,1025,Friday,Starbucks,1,7.4,Clouds
42425,645,17982,442,Monday,CVS/pharmacy,-1,6.0,Clouds
39257,589,16431,818,Tuesday,Starbucks,1,-1.0,Clouds
2553,69,1824,1017,Tuesday,My Casa!,-1,-1.0,Rain
52760,768,21381,709,Sunday,Fine Fare,-1,-1.0,Clouds
39460,593,16522,330,Thursday,Port Authority Bus Terminal,-1,5.5,Clouds
28314,425,12034,1110,Monday,Team Brootal HQ,-1,-1.0,Clear
54745,820,22826,455,Friday,Yi Mei Fung Bakery Corp,1,5.9,Clear
65334,1025,28391,785,Monday,The Shop,-1,-1.0,Rain
51771,766,21320,520,Friday,Port Authority Bus Terminal,-1,5.5,Clouds
51217,754,21047,424,Wednesday,MTA Subway - 155th St (C),-1,-1.0,Clouds
59408,902,25014,677,Sunday,CKO Kickboxing,-1,9.0,Clear
36163,521,14673,531,Friday,Graybar,-1,7.3,Clouds
21720,354,10022,781,Wednesday,4 World Trade Center,-1,-1.0,Clouds
37170,529,14830,637,Friday,The Clocktower,-1,6.8,Clouds
66811,1055,29159,1309,Sunday,Hotel Tortuga,1,7.9,Clear
55690,857,23813,759,Monday,Coney Island Beach & Boardwalk,-1,9.3,Clouds
17532,295,8278,1134,Saturday,Chelsea Piers,-1,9.1,Clouds
5441,84,2301,1089,Saturday,The Rapture (Again?),-1,-1.0,Clear
897,19,471,1142,Thursday,Maxwell Place Rooftop Terrace,-1,-1.0,Clear
47316,708,19797,727,Thursday,Milk Studios,-1,9.3,Clear
57099,881,24457,319,Thursday,Bank Of America ATM Center,-1,-1.0,Clear
23496,354,10056,1347,Thursday,MTA Subway - 125th St (4/5/6),-1,-1.0,Clouds
10927,184,5179,640,Friday,SoPHIEs house,-1,-1.0,Clouds
62399,974,27002,810,Wednesday,Track 2,-1,-1.0,Fog
48010,723,20173,791,Friday,Studio Museum in Harlem,-1,9.1,Clouds
26098,384,10898,327,Thursday,Gansevoort Park Avenue NYC,-1,8.4,Clear
33343,474,13388,486,Tuesday,MTA Subway - Manhattan Bridge (B/D/N/Q),-1,-1.0,Clouds
52013,766,21331,517,Tuesday,Lincoln Tunnel,-1,5.3,Clear
44965,689,19207,1350,Sunday,Marquee,3,8.2,Clear
15330,280,7835,618,Wednesday,Duane Reade,-1,5.6,Clouds
4180,84,2277,1251,Tuesday,AT&T,-1,6.3,Clouds
59782,913,25296,419,Thursday,Dunkin Donuts,1,5.2,Clear
43524,652,18181,762,Monday,McGraw-Hill Building,-1,-1.0,Clouds
50737,752,20992,1376,Thursday,Student Recreation Center,-1,-1.0,Clouds
20846,349,9874,808,Wednesday,Starbucks,1,6.3,Clear
53352,806,22439,797,Saturday,DVF Sample Sale,-1,5.9,Clear
565,12,292,1312,Sunday,Rite Aid,-1,6.7,Clouds
46285,705,19702,427,Wednesday,College Of Staten Island,-1,-1.0,Rain
63167,976,27078,816,Thursday,Sam's Pizza,1,-1.0,Clear
9653,172,4840,977,Friday,La Fonda del Sol,2,6.8,Clouds
39997,595,16587,900,Monday,Staten Island Ferry - St. George Terminal,-1,-1.0,Clear
138,6,134,324,Monday,MTA Regional Bus Depot - Jackie Gleason,-1,-1.0,Clouds
44851,689,19203,1170,Sunday,Lillie's Union Square,2,8.5,Clear
62566,974,27010,88,Tuesday,Q10 Bus Stop @ 130th Street & Sutter Ave,-1,-1.0,Clear
21465,349,9895,472,Friday,Caridad Kitchen,2,-1.0,Clear
31951,458,12949,406,Tuesday,The City Of New York Law Department,-1,-1.0,Clouds
30581,445,12569,1195,Friday,Mr Sandwich,1,-1.0,Clear
25482,384,10889,57,Tuesday,Bread & Butter,2,6.8,Clear
12535,185,5217,453,Tuesday,Garden State Parkway Park & Ride,-1,-1.0,Clouds
49236,742,20732,527,Saturday,MTA Subway - L Train,-1,-1.0,Clouds
27875,422,11983,181,Wednesday,Holy Sepulchre Cemetery,-1,-1.0,Clear
56926,881,24448,823,Saturday,The Grinnell,-1,-1.0,Clouds
38326,553,15468,1083,Tuesday,Mount Sinai Beth Israel,-1,-1.0,Clear
56578,877,24360,1107,Monday,THE ROOF IS ON FIRE !!,2,-1.0,Clouds
37613,531,14896,1415,Monday,Pepitone/Venturini Place,-1,-1.0,Clouds
41541,635,17660,625,Tuesday,MTA Subway - Sutter Ave (L),-1,-1.0,Clouds
48294,730,20388,840,Tuesday,New York Marriott Marquis,-1,8.4,Clouds
61943,951,26293,1054,Monday,Chefs Diet,-1,-1.0,Clouds
52175,767,21348,1062,Tuesday,Port Authority Bus Terminal,-1,5.5,Clear
37411,529,14861,1213,Monday,Loretta's Pizza,1,8.1,Clouds
54562,820,22818,747,Tuesday,Starbucks,1,7.4,Rain
1766,50,1344,1130,Saturday,MTA Subway - 103rd St (6),-1,-1.0,Clouds
63335,980,27198,766,Saturday,Ace Hotel New York,-1,9.1,Clouds
44295,673,18742,1281,Thursday,SH House,-1,-1.0,Clear
44907,689,19205,1170,Saturday,Lillie's Union Square,2,8.5,Clear
28330,425,12034,19,Thursday,central studios,-1,-1.0,Clear
62402,974,27002,854,Wednesday,The Heights,-1,-1.0,Fog
22342,354,10027,717,Thursday,Coney Island Beach & Boardwalk,-1,9.3,Clear
8052,121,3332,175,Wednesday,My Comfy King Size Bed,-1,-1.0,Fog
37826,533,14956,834,Wednesday,CVS/pharmacy,-1,6.4,Clear
50185,745,20822,38,Thursday,MTA Subway - Delancey St/Essex St (F/J/M/Z),-1,-1.0,Clear
13709,208,5843,1355,Monday,Numero 28,2,8.6,Clouds
35885,521,14650,416,Monday,TD Bank,-1,6.0,Clouds
31740,448,12671,1333,Saturday,Teresa's Homemade Ice Cream,2,7.6,Clear
37855,533,14957,758,Sunday,Home,-1,-1.0,Clouds
45788,702,19609,1015,Tuesday,St. Francis College Mailroom,-1,-1.0,Clear
19482,319,9011,1028,Thursday,Cortelyou Hardware,-1,-1.0,Clouds
18552,315,8942,30,Saturday,Napoli's Pizza,1,8.5,Rain
51315,754,21052,600,Friday,McMahon Hall,-1,-1.0,Clear
11726,185,5196,658,Wednesday,nanas :),2,-1.0,Clear
38356,553,15479,453,Friday,Dunkin' Donuts,1,5.6,Clouds
17448,293,8251,754,Wednesday,Ghamdam Food Corp,1,-1.0,Clouds
32675,461,13037,1353,Monday,514 E 5th St,-1,-1.0,Clouds
15598,293,8210,1016,Saturday,Bert's Catering & Restaurant,2,-1.0,Clear
27212,396,11205,532,Tuesday,Starbucks,1,5.9,Clear
41788,638,17769,843,Monday,Banana Republic,-1,6.9,Rain
55182,834,23195,631,Thursday,Basie Hall,-1,-1.0,Clouds
60931,934,25869,709,Monday,Corner of 77th & Central Park West,-1,6.8,Clouds
55752,857,23828,1119,Friday,Yap's Party Place,-1,-1.0,Clear
53201,787,21933,1016,Wednesday,Ruppert Tower,-1,-1.0,Clear
35410,518,14550,561,Friday,Tumblr HQ,-1,-1.0,Clouds
31946,458,12949,1149,Monday,FRESH CREEK BAY,-1,-1.0,Clouds
56513,877,24356,891,Thursday,La Strada Pizzeria & Restaurant,2,7.1,Clouds
5385,84,2299,1172,Saturday,Work #4 Mario Sotirov,-1,-1.0,Clouds
12013,185,5202,905,Saturday,Crowne Plaza Paramus,-1,-1.0,Clouds
49006,742,20728,25,Sunday,MTA Subway - Broadway (G),-1,-1.0,Clouds
26843,386,10956,906,Friday,Belleville Elementary School 8,-1,-1.0,Clouds
47182,708,19767,1143,Thursday,Penn Sushi,2,7.4,Clouds
26699,386,10942,471,Wednesday,McDonald's,1,6.5,Clouds
19927,344,9740,532,Wednesday,MTA Subway - Forest Hills/71st Ave (E/F/M/R),-1,-1.0,Clear
43900,660,18410,332,Sunday,RE.MA.TA,-1,-1.0,Clouds
58164,889,24669,472,Wednesday,NJT - 178 Bus Stop,-1,-1.0,Clouds
62205,951,26303,472,Saturday,The House of Me,-1,-1.0,Clouds
16986,293,8243,766,Wednesday,Xiang Xin,1,-1.0,Clear
37780,533,14948,1151,Saturday,Fitzgerald's 1928,2,7.3,Clear
18831,315,8951,580,Sunday,Sutter Grocery,1,-1.0,Clouds
14758,262,7390,467,Wednesday,HSBC,-1,-1.0,Clouds
1308,25,643,921,Sunday,AMC Loews Lincoln Square 13,-1,8.9,Clouds
37770,533,14947,1174,Saturday,Steve's Backyard Patio,-1,-1.0,Clouds
16800,293,8240,746,Thursday,WNYC Cafe,-1,-1.0,Clear
18018,315,8928,1290,Sunday,NYC HRA- FAMILY INDEPENDENCE ADMINISTRATION,-1,-1.0,Clear
46462,706,19718,994,Thursday,"The National Sorority Of Phi Delta Kappa, Beta Omicron Chapter Early Childhood Education Center",-1,-1.0,Clouds
65871,1044,28837,1061,Wednesday,Grand Central Terminal Clock,-1,-1.0,Clear
33136,474,13379,1098,Tuesday,MTA Subway - W. 4th Street/Washington Square (A/B/C/D/E/F/M),-1,-1.0,Clear
15371,280,7836,561,Friday,NY Bagels & Cafe,1,8.3,Clouds
32165,458,12952,384,Thursday,MTA Subway - Broadway Junction (A/C/J/L/Z),-1,-1.0,Clear
12036,185,5203,1425,Monday,Crowne Plaza Paramus,-1,-1.0,Clear
17913,315,8927,861,Tuesday,Starlight Dominican Beauty Salon,-1,-1.0,Clouds
37085,529,14827,1051,Saturday,Paddy's On The Bay,1,7.9,Clouds
37205,529,14832,525,Tuesday,New York City Police Department Headquarters,-1,-1.0,Clouds
14896,267,7511,1065,Tuesday,Rudy Macina Peace Memorial Plaza,-1,-1.0,Clear
18212,315,8932,374,Wednesday,Bolla Market - Conduit & Liberty,-1,-1.0,Clouds
4792,84,2286,351,Wednesday,Tastee Corner,1,5.2,Clouds
39030,585,16342,1176,Friday,Most Holy Trinity R.C. Church,-1,-1.0,Clear
49474,742,20742,598,Wednesday,RangerMania,-1,-1.0,Clear
65046,1017,28203,1016,Thursday,Chase Bank,-1,6.4,Clear
7118,119,3252,1285,Thursday,Starbucks,1,6.5,Clear
2097,56,1520,181,Saturday,Papaya Dog,1,6.1,Clear
3550,81,2177,1298,Sunday,Fairway Market,-1,8.4,Clear
949,19,473,668,Saturday,M and P Biancamano,1,8.3,Clouds
23506,354,10057,1378,Thursday,McDonald's,1,5.4,Clear
22878,354,10034,818,Wednesday,MTA Subway - Coney Island/Stillwell Ave (D/F/N/Q),-1,-1.0,Clear
8942,154,4300,80,Thursday,Hippie's Domain,-1,-1.0,Clear
35015,495,13919,1017,Friday,Babe's House,-1,-1.0,Clear
24625,371,10565,951,Thursday,Our Living Room,-1,-1.0,Clouds
47768,722,20144,1176,Sunday,Aquatic Center,-1,-1.0,Clouds
46168,702,19640,790,Sunday,Home :],-1,-1.0,Clouds
59699,913,25292,1104,Wednesday,Kmart,-1,5.3,Clear
29892,443,12526,581,Tuesday,Health Plus,-1,-1.0,Clear
46109,702,19628,1009,Friday,7-Eleven,-1,6.6,Clear
60060,922,25509,436,Wednesday,Kosciuszko Bridge,-1,-1.0,Clouds
65852,1044,28836,808,Wednesday,Barnes & Noble,-1,-1.0,Clouds
45897,702,19614,913,Friday,Borough Hall Plaza,-1,6.0,Clouds
28112,425,12023,590,Tuesday,The Joker's Child Comics,-1,8.5,Clear
16485,293,8234,811,Thursday,Father Fagan Park,-1,6.7,Clear
30134,443,12533,561,Monday,the basement,3,-1.0,Rain
8275,138,3872,726,Sunday,Lenox Hill Neighborhood House,-1,7.0,Clouds
13,6,126,58,Saturday,Yakitori Sun-Chan,2,8.0,Clear
50243,745,20825,949,Sunday,Sauce Restaurant,3,8.6,Clouds
63248,980,27194,1150,Saturday,Daisy May's BBQ,2,7.2,Clear
43123,649,18095,15,Sunday,Enid's,2,8.4,Clouds
46683,706,19720,991,Friday,MTA Bus - Q84 @ 237th Street  & 129th Avenue,-1,-1.0,Clear
63651,990,27430,766,Saturday,Best Western Jfk Airport Hotel,-1,5.0,Clear
61155,943,26119,973,Sunday,Newark Liberty International Airport (EWR) (Newark Liberty International Airport),-1,5.6,Clear
4483,84,2281,1292,Tuesday,The Rack Room,-1,-1.0,Clear
21304,349,9891,644,Friday,The Art of Shaving,-1,-1.0,Clouds
54662,820,22822,454,Wednesday,Yi Mei Fung Bakery Corp,1,5.9,Clouds
62922,976,27066,1242,Saturday,MTA Bus - B67,-1,-1.0,Clear
60471,928,25692,947,Thursday,Abuela's Casa <3,-1,-1.0,Clouds
19524,319,9013,1234,Wednesday,Central Park,-1,9.8,Clouds
43679,660,18397,1237,Wednesday,The New School,-1,-1.0,Clear
18398,315,8937,1212,Monday,Espinal's Restaurant,2,-1.0,Clouds
18900,315,8953,1225,Monday,Cypress Hills - NYCHA,-1,-1.0,Clear
28010,422,11989,1184,Sunday,Holy Sepulchre Cemetery,-1,-1.0,Clouds
65333,1025,28391,609,Monday,The Shop,-1,-1.0,Rain
5792,90,2481,495,Monday,Equinox East 44th Street,-1,9.5,Clear
32051,458,12951,547,Monday,Bank of America,-1,5.7,Clouds
9052,154,4318,308,Sunday,3D Deli Grocery,1,-1.0,Clouds
66112,1047,28912,543,Thursday,Willis Avenue Bridge,-1,-1.0,Clouds
66308,1047,28917,592,Thursday,Fantastic Kids Toys,-1,6.7,Clear
23024,354,10036,1146,Friday,David's Check Cashing,-1,-1.0,Clouds
11860,185,5198,626,Thursday,nanas :),2,-1.0,Clear
58165,889,24669,504,Wednesday,Fairleigh Dickinson University,-1,-1.0,Clouds
10584,182,5100,813,Saturday,Fort Tryon Park,-1,9.5,Clear
43284,652,18167,867,Monday,Wells Fargo Bank,-1,-1.0,Clouds
59579,902,25040,556,Friday,Robbio Plantation,-1,-1.0,Clouds
61166,943,26120,1111,Tuesday,55 Van Reipen,-1,-1.0,Clouds
37184,529,14831,868,Tuesday,150 Market,1,5.2,Clear
566,12,293,622,Monday,Rite Aid,-1,6.7,Clear
48315,730,20388,841,Saturday,New York Marriott Marquis,-1,8.4,Clouds
26120,384,10899,435,Wednesday,Gansevoort Park Avenue NYC,-1,8.4,Clear
1586,34,934,926,Saturday,Dahlia Nails & Spa,-1,8.0,Clouds
45780,699,19548,510,Wednesday,MTA Bus - Victory Bl & Manor Rd (S54/S/61/S62/S66/S91/S92/S93/X12/X42),-1,-1.0,Fog
34796,495,13914,1237,Monday,MTA Subway - 66th St/Lincoln Center (1),-1,-1.0,Clear
41180,628,17493,329,Saturday,QuickChek,-1,8.5,Clouds
20358,347,9828,1299,Sunday,Windapocolypse 2012!!!,-1,-1.0,Clouds
53618,816,22697,791,Wednesday,US Post Office,-1,-1.0,Clouds
32316,458,12956,614,Wednesday,MTA Subway - Canarsie/Rockaway Pkwy (L),-1,-1.0,Clouds
57718,885,24547,391,Thursday,MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),-1,-1.0,Clouds
5976,91,2514,1236,Thursday,Shell,-1,5.9,Clear
8842,153,4272,1273,Monday,Esca,4,7.7,Clouds
32240,458,12954,592,Friday,Fresh Creek Park,-1,-1.0,Clear
25630,384,10890,683,Thursday,Brooklyn Borough Hall,-1,-1.0,Clear
45803,702,19610,926,Wednesday,MTA Subway - Jay St/MetroTech (A/C/F/R),-1,-1.0,Clouds
319,7,146,512,Tuesday,Central Park East I Elementary School,-1,-1.0,Clouds
1976,56,1514,1166,Saturday,Union Square Park,-1,9.4,Clear
50459,750,20924,906,Monday,Chase Bank,-1,5.8,Unknown
11139,185,5186,539,Tuesday,my bed,3,-1.0,Clear
25764,384,10892,476,Wednesday,The Pierpont,-1,-1.0,Clouds
58879,900,24939,1373,Saturday,XES Lounge,2,-1.0,Clouds
39060,585,16344,400,Friday,Empire City Casino,-1,6.6,Clear
58694,895,24815,1423,Friday,Stephenson Park,-1,-1.0,Clear
31525,448,12659,886,Saturday,48th Street,-1,-1.0,Clear
60701,934,25845,1211,Wednesday,The Cottage Bar,1,7.4,Clear
34820,495,13914,1241,Friday,Jivamukti Yoga School NYC,-1,8.9,Clear
33711,484,13628,1086,Thursday,Home,-1,-1.0,Clouds
27475,398,11251,1268,Monday,Headquarters,-1,-1.0,Clouds
45473,689,19239,855,Thursday,Eataly NYC,-1,9.5,Clouds
46124,702,19634,1046,Friday,Barnes & Noble,-1,8.0,Clouds
16289,293,8227,151,Monday,MTA B46 To Kings Plaza,-1,-1.0,Clouds
23720,355,10069,518,Tuesday,McDonald's,1,5.6,Fog
4613,84,2282,1183,Saturday,Eastern Nights,1,4.9,Clear
20039,344,9746,735,Friday,Fitzgerald Gym,-1,7.8,Clouds
58239,891,24717,1156,Tuesday, Home Sweet Home ,-1,-1.0,Clear
30077,443,12530,1322,Friday,NJT - 167/177/186/753 Bus Stop,-1,-1.0,Clear
820,14,347,524,Saturday,Madison Square Park,-1,9.6,Clouds
24290,365,10379,1172,Wednesday,Columbus Gourmet Food,1,5.6,Rain
55824,868,24098,1043,Tuesday,Smith's Bar,2,-1.0,Clear
54026,819,22789,752,Friday,7-Eleven,-1,7.3,Clear
3048,70,1872,93,Tuesday,MTA Bx 36,-1,-1.0,Clouds
37707,533,14944,594,Monday,CVS/pharmacy,-1,6.4,Clear
31282,445,12595,665,Tuesday,MTA - M100 (Inwood),-1,-1.0,Clear
65761,1040,28769,1114,Wednesday,Cock & Bull British Pub and Eatery,2,7.3,Clouds
5562,90,2460,1201,Saturday,Hofbräu Bierhaus NYC,2,8.2,Clear
27166,396,11203,483,Saturday,Jay Hood Wright Park,-1,8.8,Clear
6133,95,2601,518,Saturday,House of Hercules,-1,-1.0,Clouds
31988,458,12949,501,Saturday,Tingué Bungalow,-1,-1.0,Clear
31076,445,12588,513,Friday,MTA Subway - 145th St (1),-1,-1.0,Clear
52233,768,21368,702,Sunday,QuickChek,-1,7.1,Clear
23171,354,10040,1063,Sunday,MTA Subway - Coney Island/Stillwell Ave (D/F/N/Q),-1,-1.0,Clouds
48355,730,20390,820,Tuesday,Bank of America,-1,6.5,Clear
21121,349,9888,1156,Monday,Overlook,2,7.0,Clear
4299,84,2278,843,Saturday,Inwood Multiservices,-1,-1.0,Clear
12881,187,5266,576,Monday,4A's | American Association of Advertising Agencies,-1,-1.0,Clouds
37064,529,14826,1004,Wednesday,New York City Police Department Headquarters,-1,-1.0,Clouds
16953,293,8242,790,Sunday,Settepani Bakery,1,5.9,Unknown
58606,895,24811,1246,Saturday,Stephenson Playground,-1,-1.0,Clear
51797,766,21321,527,Friday,Dunkin' Donuts,1,7.0,Clear
55101,834,23193,1439,Tuesday,My Bed,-1,-1.0,Clear
34415,488,13737,367,Wednesday,G's Coffee Shop,1,8.1,Clouds
25055,372,10581,592,Thursday,Barbarian Group - NYC,-1,8.1,Clear
2248,65,1735,1368,Tuesday,Johnny Rockets,1,7.0,Clouds
17511,293,8252,767,Wednesday,Ghamdam Food Corp,1,-1.0,Clear
8012,121,3331,826,Monday,MTA Bus - Bay Py & 67 St (B6),-1,-1.0,Clouds
36448,527,14798,513,Friday,Nadia's Apartment,-1,-1.0,Clouds
62408,974,27002,244,Saturday,Fire Pit in South Ozone Park,-1,-1.0,Clear
39438,593,16521,1170,Saturday,NJT - 190 Bus Stop,-1,-1.0,Clear
21770,354,10022,1070,Friday,MTA Subway - Delancey St/Essex St (F/J/M/Z),-1,-1.0,Clear
56603,877,24362,695,Tuesday,Stop 1 Super Market,1,-1.0,Clouds
38137,546,15312,1341,Friday,BP,-1,6.5,Clear
24451,371,10561,503,Sunday,Clearview Gardens,-1,-1.0,Clouds
66900,1070,29556,1325,Tuesday,EHS St. George Residence,-1,-1.0,Rain
60342,928,25682,70,Sunday,Bronx Alehouse,2,9.4,Clouds
65666,1040,28738,982,Saturday,Brooklyn Flea - Fort Greene,-1,8.3,Clear
59436,902,25020,446,Wednesday,Golds Gym,-1,7.5,Clouds
9287,171,4796,1108,Friday,Betel,3,-1.0,Clear
18825,315,8951,149,Sunday,Visions Of Beauty Unisex Salon,-1,-1.0,Clouds
65600,1040,28733,1121,Tuesday,Google New York,-1,-1.0,Clouds
43787,660,18403,1104,Sunday,Gristedes,-1,5.2,Clouds
54156,819,22793,160,Sunday,CVS/Pharmacy,-1,5.4,Clear
4683,84,2284,520,Monday,27th Floor Vip,-1,-1.0,Rain
59238,901,25000,1356,Saturday,LLPB AJ Castle,-1,-1.0,Clouds
64332,1006,27868,1025,Tuesday,Merrick Farm Country,-1,6.6,Clouds
1424,34,910,571,Wednesday,House Of Jello,-1,-1.0,Clouds
19996,344,9744,756,Monday,Student Union,-1,-1.0,Clouds
28815,438,12405,559,Monday,275 Madison Ave,-1,-1.0,Clouds
49864,744,20805,1096,Wednesday,Macy's,-1,8.5,Clear
33333,474,13387,458,Friday,MTA Subway - Bay Parkway (D),-1,-1.0,Clear
38560,579,16210,483,Thursday,MTA Subway - Neck Rd (Q),-1,-1.0,Clear
10845,184,5175,784,Sunday,Arepera Guacuco Restaurant,2,9.2,Clear
7100,119,3251,748,Sunday,Paris Baguette,2,8.3,Clouds
55963,872,24221,721,Saturday,Suds Laundromat,-1,-1.0,Clear
33319,474,13387,54,Tuesday,In Bed... Asleep,-1,-1.0,Clear
4030,82,2226,1071,Monday,Queensborough Community College,-1,-1.0,Clear
62483,974,27005,805,Wednesday,Fire Pit in South Ozone Park,-1,-1.0,Clouds
15293,280,7834,714,Wednesday,Starbucks,2,7.2,Clouds
50790,752,20995,1214,Friday,Breakers Billiards,-1,6.3,Clouds
45506,689,19241,855,Tuesday,Eataly NYC,-1,9.5,Clouds
63930,990,27442,892,Saturday,Wingate by Wyndham Manhattan Midtown,-1,6.8,Clouds
53046,773,21535,636,Wednesday,River Rd,-1,-1.0,Clouds
45735,699,19534,549,Tuesday,Gulf,-1,6.2,Clouds
52341,768,21370,750,Friday,QuickChek,-1,7.8,Clouds
55924,868,24109,4,Wednesday,EasternBloc,2,-1.0,Clouds
42981,647,18046,404,Wednesday,Hamilton Park Small Breed Dog Run,-1,7.6,Clear
65215,1019,28262,736,Sunday,Fleishers Craft Butchery,-1,9.3,Clear
19681,343,9705,924,Thursday,Terminal 7,-1,-1.0,Clear
65440,1029,28492,1209,Friday,The PartyLikeaRAWKstar House,-1,-1.0,Clear
5124,84,2291,360,Thursday,Dunkin' Donuts,1,6.0,Clear
32680,461,13037,1085,Wednesday,Brooklyn's Finest,-1,-1.0,Clear
51937,766,21328,952,Tuesday,Port Authority Bus Terminal,-1,5.5,Clouds
18696,315,8948,665,Thursday,May May Restaurant,1,-1.0,Clouds
58778,895,24822,1383,Saturday,Stephenson Playground,-1,-1.0,Clouds
46386,706,19717,911,Tuesday,Key Food,-1,6.5,Clear
61567,943,26147,522,Thursday,Eastern Datacomm,-1,-1.0,Clear
45383,689,19233,570,Sunday,New York Hilton Midtown,-1,7.6,Clouds
27688,412,11680,458,Friday,MTA Subway - Astoria Blvd/Hoyt Ave (N/W),-1,-1.0,Clear
63135,976,27075,613,Saturday,Raylz HQ,-1,-1.0,Clouds
35960,521,14653,1100,Tuesday,New York Sports Clubs,-1,5.8,Clouds
13690,208,5841,353,Sunday,Mount Sinai Beth Israel,-1,-1.0,Clouds
5602,90,2464,505,Thursday,John F. Kennedy International Airport (JFK) (John F. Kennedy International Airport),-1,7.0,Clear
48117,730,20379,780,Friday,Times Square,-1,9.0,Clouds
51064,754,21032,476,Friday,McMahon Hall,-1,-1.0,Clear
662,14,331,658,Saturday,Union Square Greenmarket,-1,9.6,Clear
45572,689,19244,150,Friday,New York Hilton Midtown,-1,7.6,Clouds
36641,527,14801,576,Monday,MTA Subway - 23rd St (R/W),-1,-1.0,Clouds
7974,121,3329,727,Sunday,Walking Peter Pan <3,-1,-1.0,Clear
